ENV,REP,GEN,HDNG,DTM,GFD,PH,SL,GWPS,GNPS,SPMS,YPMS,BYPMS,TGW
E3,3,HD3318,67.5,98.5,31,70.66666667,8.525,0.73,30.1,410,299,761,24.25
E3,3,HD3265,65,98,33,66.83333333,9.3,1.17,41.5,432.5,506,1190,28.19
E3,3,DW1642,71,94,23,70.83333333,8.05,1.1745,40.95,471,553,746,28.68
E3,3,DW1643,74,97.5,23.5,63.16666667,10.225,1.0425,39.05,344.5,359,733,26.7
E3,3,DW1644,74,97,23,65.5,8.45,1.4325,38,307.5,440,755,37.7
E3,3,DW1645,72.5,92.5,20,69.5,10.05,1.3305,47.25,300,399,507,28.16
E3,3,HD3059,73.5,96,22.5,74,7.42,1.388,38.05,371.5,516,751,36.48
E3,3,HD3266,73,96.5,23.5,78.16666667,9.525,1.467,37.55,534,783,962,39.07
E3,3,DW1615,74.5,98,23.5,69.33333333,8.37,1.551,38.85,422.5,655,1478,39.92
E3,3,HDCSW18,75,99.5,24.5,72,8.35,1.695,39.5,348,590,845,42.91
E4,1,HD3171,88,129,41,97,11.8,2.76,69,580,1598,3100,39.94
E4,1,DW1616,92,131,39,102,9,2.6,63,552,1435,2510,41.27
E4,1,HD2864,90,125,35,96,10.8,2.38,69,575,1369,3600,34.49
E4,1,HD3086,79,122,43,93,8.5,1.14,46,660,751,2650,24.75
E4,1,HD3249,86,126,40,101,10,2.51,59,540,1355,3270,42.52
E4,1,DW1627,80,120,40,105,7.5,1.82,54,652,1184,3098,33.61
E4,1,DW1628,87,126,39,100,10.3,2.67,67,500,1336,2500,39.87
E4,1,DW1629,88,127,39,90,7.5,1.78,44,600,1070,3060,40.17
E4,1,HD3184,93,132,39,96,8.5,2.28,58,600,1368,2910,39.46
E4,1,HD3252,88,126,38,98,9.5,3,69,448,1344,2610,43.48
E4,1,DW1630,92,132,40,98,12.3,2.12,63,580,1230,3500,33.65
E4,1,HD2932,90,156,66,90,10.3,2.23,61,540,1204,2340,36.56
E4,1,DW1631,92,130,38,101,9.3,2.46,58,625,1538,3390,42.42
E4,1,DW1632,93,131,38,91,9.9,1.9,54,480,911,2400,35.16
E4,1,WR544,74,115,41,98,9.5,1.81,48,500,904,2340,37.65
